Text,Label
"O abrigo era confortável e bem organizado.",Positivo
"Os voluntários me atenderam com muita gentileza.",Positivo
"A comida estava deliciosa e servida rapidamente.",Positivo
"Recebi todo o apoio necessário e me senti acolhido.",Positivo
"O ambiente era limpo e seguro para todos.",Positivo
"As instalações estavam bem cuidadas e confortáveis.",Positivo
"Fui bem orientado sobre os serviços oferecidos.",Positivo
"O atendimento foi excelente, me senti valorizado.",Positivo
"Os banheiros estavam limpos e bem mantidos.",Positivo
"A estrutura do abrigo superou minhas expectativas.",Positivo
"O abrigo estava sujo e mal organizado.",Negativo
"A comida estava fria e sem sabor.",Negativo
"Os voluntários foram rudes e despreparados.",Negativo
"O ambiente era barulhento e estressante.",Negativo
"Não havia camas suficientes para todos.",Negativo
"As filas estavam enormes e confusas.",Negativo
"O atendimento foi demorado e ineficiente.",Negativo
"Me senti inseguro e desamparado no local.",Negativo
"As instalações eram precárias e sujas.",Negativo
"Não consegui acessar os serviços necessários.",Negativo
